error,time
0.7580645161290323,1644086987.372694
0.7580645161290323,1644086987.3786783
0.7545271629778671,1644086987.3836648
0.7545271629778671,1644086987.3886507
0.7437641723356009,1644086987.3946352
0.7437641723356009,1644086987.399621
0.7437641723356009,1644086987.4056053
0.6778042959427208,1644086987.4115908
0.6778042959427208,1644086987.4165761
0.6778042959427208,1644086987.4225607
0.06849315068493156,1644086987.427547
0.06849315068493156,1644086987.433531
0.06849315068493156,1644086987.4395154
-0.3670520231213873,1644086987.446497
-0.3670520231213873,1644086987.4514828
-0.3813559322033898,1644086987.4574668
-0.3813559322033898,1644086987.463451
-0.3813559322033898,1644086987.468438
-0.34582132564841495,1644086987.4804056
-0.34582132564841495,1644086987.4873872
-0.28955223880597014,1644086987.4953663
-0.28955223880597014,1644086987.5003526
-0.28358208955223885,1644086987.5073335
-0.28358208955223885,1644086987.512321
-0.28358208955223885,1644086987.517308
-0.32163742690058483,1644086987.5242891
-0.32163742690058483,1644086987.529275
-0.3343023255813954,1644086987.534261
-0.3343023255813954,1644086987.5412433
-0.3343023255813954,1644086987.5462296
-0.3097345132743363,1644086987.5542083
-0.3097345132743363,1644086987.5591943
-0.3097345132743363,1644086987.5651786
-0.40443213296398894,1644086987.571163
-0.40443213296398894,1644086987.5771475
-0.25153374233128833,1644086987.5821335
-0.25153374233128833,1644086987.5881186
-0.25153374233128833,1644086987.5941024
0.270516717325228,1644086987.600085
0.270516717325228,1644086987.6060696
0.4782608695652174,1644086987.613051
0.4782608695652174,1644086987.6180384
0.4782608695652174,1644086987.6240213
0.7254004576659039,1644086987.6300066
0.7254004576659039,1644086987.6349921
0.7254004576659039,1644086987.6419737
0.6466346153846154,1644086987.646961
0.6466346153846154,1644086987.6539414
0.6539379474940334,1644086987.6599262
0.6539379474940334,1644086987.66591
0.6539379474940334,1644086987.6718938
0.5561224489795918,1644086987.6778767
0.5561224489795918,1644086987.683861
0.5561224489795918,1644086987.689846
0.6,1644086987.6948326
0.6,1644086987.699819
0.513157894736842,1644086987.7067995
0.513157894736842,1644086987.7127838
0.513157894736842,1644086987.7167737
0.006993006993006978,1644086987.7227573
0.006993006993006978,1644086987.7277448
0.006993006993006978,1644086987.7327328
-0.29850746268656714,1644086987.7397122
-0.29850746268656714,1644086987.7456963
-0.29850746268656714,1644086987.7516794
-0.7130044843049328,1644086987.758662
-0.7130044843049328,1644086987.763648
-0.7130044843049328,1644086987.768637
-0.6643518518518519,1644086987.7756183
-0.6643518518518519,1644086987.7806027
-0.6877828054298643,1644086987.787584
-0.6877828054298643,1644086987.792572
-0.6877828054298643,1644086987.7975588
-0.553030303030303,1644086987.805536
-0.553030303030303,1644086987.810523
-0.553030303030303,1644086987.8165073
-0.18327974276527326,1644086987.8244858
-0.18327974276527326,1644086987.829472
0.2887537993920972,1644086987.8364542
0.2887537993920972,1644086987.8434348
0.5833333333333333,1644086987.8484223
0.5833333333333333,1644086987.857398
0.5833333333333333,1644086987.8623836
0.6295399515738499,1644086987.8683693
0.6295399515738499,1644086987.8753493
0.5950617283950617,1644086987.8813355
